,league,side,teamname,result,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
39934,LCK,Blue,KT Rolster,0,24148.0,31090.0,574.0,26791.0,32809.0,572.0,-2643.0,-1719.0,2.0,1.0,2.0,5.0,5.0,4.0,1.0
39935,LCK,Red,DRX,1,26791.0,32809.0,572.0,24148.0,31090.0,574.0,2643.0,1719.0,-2.0,5.0,4.0,1.0,1.0,2.0,5.0
39946,LPL,Blue,Royal Never Give Up,1,24983.0,31359.0,564.0,24407.0,30923.0,563.0,576.0,436.0,1.0,3.0,3.0,3.0,3.0,5.0,3.0
39947,LPL,Red,LNG Esports,0,24407.0,30923.0,563.0,24983.0,31359.0,564.0,-576.0,-436.0,-1.0,3.0,5.0,3.0,3.0,3.0,3.0
39958,LCK,Blue,Fredit BRION,1,24589.0,31403.0,571.0,23767.0,30913.0,580.0,822.0,490.0,-9.0,2.0,2.0,0.0,0.0,0.0,2.0
39959,LCK,Red,T1,0,23767.0,30913.0,580.0,24589.0,31403.0,571.0,-822.0,-490.0,9.0,0.0,0.0,2.0,2.0,2.0,0.0
39982,LPL,Blue,Oh My God,0,23504.0,28440.0,497.0,26207.0,31402.0,541.0,-2703.0,-2962.0,-44.0,3.0,5.0,6.0,6.0,13.0,3.0
39983,LPL,Red,Top Esports,1,26207.0,31402.0,541.0,23504.0,28440.0,497.0,2703.0,2962.0,44.0,6.0,13.0,3.0,3.0,5.0,6.0
40006,LPL,Blue,Oh My God,0,21953.0,25889.0,450.0,33596.0,33968.0,558.0,-11643.0,-8079.0,-108.0,2.0,4.0,14.0,14.0,22.0,2.0
40007,LPL,Red,Top Esports,1,33596.0,33968.0,558.0,21953.0,25889.0,450.0,11643.0,8079.0,108.0,14.0,22.0,2.0,2.0,4.0,14.0
40018,LCK,Blue,T1,0,23668.0,28764.0,549.0,28107.0,31308.0,534.0,-4439.0,-2544.0,15.0,2.0,4.0,10.0,10.0,26.0,2.0
40019,LCK,Red,Fredit BRION,1,28107.0,31308.0,534.0,23668.0,28764.0,549.0,4439.0,2544.0,-15.0,10.0,26.0,2.0,2.0,4.0,10.0
40714,LCK,Blue,Hanwha Life Esports,1,25716.0,31449.0,530.0,23005.0,28845.0,525.0,2711.0,2604.0,5.0,4.0,7.0,2.0,2.0,2.0,4.0
40715,LCK,Red,Nongshim RedForce,0,23005.0,28845.0,525.0,25716.0,31449.0,530.0,-2711.0,-2604.0,-5.0,2.0,2.0,4.0,4.0,7.0,2.0
40798,LCK,Blue,Nongshim RedForce,0,23866.0,30276.0,524.0,22720.0,29375.0,506.0,1146.0,901.0,18.0,2.0,3.0,0.0,0.0,0.0,2.0
40799,LCK,Red,Hanwha Life Esports,1,22720.0,29375.0,506.0,23866.0,30276.0,524.0,-1146.0,-901.0,-18.0,0.0,0.0,2.0,2.0,3.0,0.0
40846,LPL,Blue,eStar,0,24971.0,31460.0,547.0,27764.0,31647.0,561.0,-2793.0,-187.0,-14.0,4.0,10.0,6.0,6.0,16.0,4.0
40847,LPL,Red,JD Gaming,1,27764.0,31647.0,561.0,24971.0,31460.0,547.0,2793.0,187.0,14.0,6.0,16.0,4.0,4.0,10.0,6.0
